,Unnamed: 0.1,Unnamed: 0,songs,artist,title,lyrics,enumerated_list,lyrics_not_found
376,376,76,Cover Me Up,Morgan Wallen,Top Songs of 2022: USA,"Cover Me Up Lyrics
A heart on a run keeps a hand on a gun
Can't trust anyone
I was so sure what I needed was more
Tried to shoot out the sun
The days when we raged, we flew off the page
Such damage was done
But I made it through, 'cause somebody knew
I was meant for someone

So, girl, leave your boots by the bed, we ain't leavin' this room
'Til someone needs medical help or the magnolias bloom
It's cold in this house and I ain't goin' out to chop wood
So, cover me up and know you're enough to use me for good
I put your faith to the test when I tore off your dress
In Richmond on High
I sobered up, I swore off that stuff
Forever this time
And the old lover's sing, “I thought it'd be me
Who helped him get home”
But home was a dream, one that I'd never seen
'Til you came along

So, girl, hang your dress out to dry, we ain't leavin' this room
'Til Percy Priest breaks open wide and the river runs through
And carries this house on its Stones like a piece of driftwood
So, cover me up and know you're enough to use me for good


So, girl, leave your boots by the bed, we ain't leavin' this room
'Til someone needs medical help or the magnolias bloom
It's cold in this house and I ain't goin' out to chop wood
So, cover me up and know you're enough to use me for good

So, cover me up and know you're enough to use me for goodYou might also like9Embed",[],False
377,377,77,Un Ratito,Bad Bunny,Top Songs of 2022: USA,"TranslationsEnglishDeutschItalianoUn Ratito Lyrics

Yeah-yeah-yeah-yeah
Yeah-yeah-yeah-yeah-yeah
Ey

Quizás yo vuelva con mi ex
Y no te vuelva a ver (Y no te vuelva a ver)
Quizá no te importa, quizá te va a doler
Esto e' un ratito, uoh
Mami, no te acostumbre', eh
Que el amor es muy bonito
Pero siempre hay algo que lo interrumpe, eh
Esto e' un ratito, uoh
Mami, no te acostumbre', eh
Que el amor es muy bonito (Pero, pero)
Pero siempre hay algo que lo interrumpe, eh

Pa' mí que yo nací pa' estar solo
No hay una loca pa' este loco
El tiempo se va y queda poco
Baby, vamo' a hacerlo otra ve', a chingar otra ve'
Porque mañana quizá no vo'a estar
La luz se puso roja, hay que parar
O si quiere' nos bajamo' y podemo' perrear
Baby, esto no fue normal

Con cualquiera no me acuesto, a cualquiera no le meto
Ni le cuento mis secreto'
Me pongo feliz cuando llegan tus texto'
Porque
Con cualquiera no me acuesto, a cualquiera no le meto
Ni le cuento mis secreto'
Me pongo feliz cuando llegan tus texto'
O cuando en cuatro te lo meto
You might also like
Ey, y te moja' to'a
Contigo me voy a toda', ey
Espero que lo haya' pasa'o bien
Y en verdad te haré bien, pero
Mi vida es complicada, tú no va' a entender
Un poco inestable como puede' ver (Puede' ver)
Mami, fue rico conocerte
Pero no sé si vuelva a verte

Esto e' un ratito, uoh
Mami, no te acostumbre', eh
Que el amor es muy bonito
Pero siempre hay algo que lo interrumpe, eh

Pa' mí que yo nací pa' estar solo (Solo)
(Pa' mí que yo nací pa' estar solo)3Embed",[],False
381,381,81,Tennessee Whiskey,Chris Stapleton,Top Songs of 2022: USA,"Tennessee Whiskey Lyrics
Used to spend my nights out in a barroom
Liquor was the only love I'd known
But you rescued me from reachin' for the bottom
And brought me back from bein' too far gone

You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time
I've looked for love in all the same old places
Found the bottom of a bottle's always dry
But when you poured out your heart, I didn't waste it
'Cause there's nothin' like your love to get me high

And you're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time


You're as smooth as Tennessee whiskey
You're as sweet as strawberry wine
You're as warm as a glass of brandy
And honey, I stay stoned on your love all the time

You're as smooth as Tennessee whiskey
Tennessee whiskey, Tennessee whiskey
You're as smooth as Tennessee whiskey
Tennessee whiskey, Tennessee whiskeyYou might also like25Embed",[],False
383,383,83,What You Know Bout Love,Pop Smoke,Top Songs of 2022: USA,"TranslationsРусскийPortuguêsWhat You Know Bout Love Lyrics
Uh

Shawty go joggin' every morning (Every morning)
And she make me breakfast almost every morning (Every morning)
And she take a naked pic before she leave the door
I be wakin' up to pics before a nigga yawnin'
And every weekend my shawty comin' over (Over)
Shawty could Fendi out, but she like Fashion Nova (Nova)
She ain't drivin' no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby
She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (I love you, baby)
'Cause I like what I see (Oh)

Look, baby, I said I ain't gon' front (Uh)
You got my heart beatin' so fast to words I can't pronounce
And I be gettin' the chills every time I feel your touch
I be lookin' at the top and girl, it's only us
All I need is your trust
And girl I told you once, don't make me tell you twice (Word)
I know you see this print through my pants that I know you like (Like, nah)
And yo' ass be lookin' so fat when it be in them tights (In them tights)
And I'm goin' straight to the top, so hope you ain't afraid of heights
You always keep me right, for a fact, you never left (Left)
Through all the trials and tribulations, always had my best (My best)
So here's fifty-five hunnid, go and get your breasts (Your breasts)
Start rubbin' on your butt, start kissin' on your neck
Hey batter, batter, hey batter, batter (Batter)
Niggas know I had to swing, I had to make a play (Make a play)
I had to apply the pressure, 'cause you my hidden treasure
I think I'm fallin' in love
You might also like
She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (I love you, baby)
'Cause I like what I see76Embed",[],False
384,384,84,God's Plan,Drake,Top Songs of 2022: USA,"TranslationsРусскийTürkçeEspañolPolskiItalianoDeutschFrançaisAzərbaycanca / آذربايجانGod’s Plan Lyrics
And they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah

I been movin' calm, don't start no trouble with me
Tryna keep it peaceful is a struggle for me
Don't pull up at 6 AM to cuddle with me
You know how I like it when you lovin' on me
I don't wanna die for them to miss me
Yes, I see the things that they wishin' on me
Hope I got some brothers that outlive me
They gon' tell the story, shit was different with me
God's plan, God's plan
I hold back, sometimes I won't, yeah
I feel good, sometimes I don't (Ayy, don't)
I finessed down Weston Road (Ayy, 'nessed)
Might go down a G.O.D. (Yeah, wait)
I go hard on Southside G (Yeah, wait)
I make sure that north-side eat
And still

Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, ayy, ayy

She say, ""Do you love me?"" I tell her, ""Only partly
I only love my bed and my mama, I'm sorry""
Fifty Dub, I even got it tatted on me
Eighty-one, they'll bring the crashers to the party
And you know me
Turn the O2 into the O3, dog
Without 40, Oli, there'd be no me
'Magine if I never met the broskies
You might also like
God's plan, God's plan
I can't do this on my own, ayy (No, ayy)
Someone watchin' this shit close (Yep, close)
I've been me since Scarlett Road, ayy (Road, ayy)
Might go down as G.O.D. (Yeah, wait, yeah)
I go hard on Southside G (Ayy, wait, ayy)
I make sure that north-side eat, yeah
And still

Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah, yeah
Bad things
It's a lot of bad things that they wishin' and wishin'
And wishin' and wishin', they wishin' on me
Yeah934Embed",[],False
385,385,85,Don't,Bryson Tiller,Top Songs of 2022: USA,"TranslationsTürkçePortuguêsDon’t Lyrics
Don't, don't play with her, don't be dishonest (Ayy)
Still not understandin' this logic (Ayy)
I'm back and I'm better (And I'm better)
I want you bad as ever
Don't let me just let up
I wanna give you better
Baby, it's whatever
Somebody gotta step up
Girl, I'm that somebody, so I'm next up
Be damned if I let him catch up
It's easy to see that you're fed up
I am on a whole 'nother level
Girl, he only fucked you over 'cause you let him
Fuck him, girl, I guess he didn't know any better
Girl, that man didn't show any effort
Do all I can just to show you you're special
Certain it's your love that holds me together
Lately you say he been killin' the vibe
Gotta be sick of this guy
Pull up, skrr, get in the ride
Left hand is steerin' the other is grippin' your thigh
Light up a spliff and get high
Shawty, you deserve what you've been missin'
Lookin' at you I'm thinkin' he must be trippin'
Play this song for him, tell him, ""Just listen""
Don't
Don't

Girl, said he keeps on playin' games
And his lovin' ain't the same
I don't know what to say, but
What a shame
If you were mine you would not get the same
If you were mine you would top everything
Suicide in the drop switchin' lanes
And that thing so fire, baby, no propane
Got good pussy, girl, can I be frank?
To keep it 100, girl, I ain't no saint
But he the only reason that I'm feelin' this way
Givin' you the world, baby, when you get space
Pen game get me laid, baby, that's penetrate
Oh baby

Don't
H-Town got a nigga so throwed
Pour up, we can party some more
Yeah, got this drank in my cup
Got a young nigga feelin' so throwed
Spit fire in a world so cold
Young money got a nigga feelin' old
Spit fire in a world so cold
H-Town got me feelin' so throwed
H-Town got me feelin' so throwed
Ride paint and we sip 'til we fold
H-Town got me feelin' so throwed
Spit fire in a world so cold
H-Town got a nigga so throwed
You might also like
Don't544Embed",[],False
386,386,86,Something in the Orange,Zach Bryan,Top Songs of 2022: USA,"Something in the Orange Lyrics
It'll be fine by dusk light, I'm tellin' you, baby
These things eat at your bones and drive your young mind crazy
But when you place your head between my collar and jaw
I don't know much, but there's no weight at all

And I'm damned if I do and I'm damned if I don't
'Cause if I say I miss you, I know that you won't
But I miss you in the mornings when I see the sun
Somethin' in the orange tells me we're not done
To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

I need to hear you say you've been waitin' all night
There's orange dancin' in your eyes from bulb light
Your voice only trembles when you try to speak
Take me back to us dancin', this wood used to creak

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home

To you, I'm just a man; to me, you're all I am
Where the hell am I supposed to go?
I poisoned myself again, somethin' in the orange
Tells me you're never comin' home
If you leave today, I'll just stare at the way
The orange touches all things around
The grass, trees, and dew, how I just hate you
Please turn those headlights around
Please turn those headlights aroundYou might also like1Embed",[],False
388,388,88,Lost,Frank Ocean,Top Songs of 2022: USA,"TranslationsEspañolРусскийPortuguêsLost Lyrics
Double D
Big full breasts on my baby
(Yo, we going to Florida)
Triple weight
Couldn't weigh the love I've got for the girl
And I just wanna know
Why you ain't been going to work
Boss ain't working you like this
He can't take care of you like this
Now you're lost, lost in the heat of it all
Girl, you know you're lost
Lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost

Got on my buttercream silk shirt and it's Versace
(There he goes, one of God's own prototypes)
Hand me my triple weight
So I can weigh the work I got on your girl
(Too weird to live, too rare to die)
No, I don't really wish
I don't wish the titties would show
Nor have I ever, have I ever let you get caught?

Lost, lost in the heat of it all
Girl, you know you're lost
Lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost

She's at a stove (Who)
Can't believe I got her out here cooking dope (Cooking dope)
I promise she'll be whipping meals up for a family of her own some day
Nothing wrong (Nothing wrong)
No, nothing wrong (Ain't nothing wrong) with a lie (Ooh)
Nothing wrong (Nothing wrong)
With another short plane ride (Ain't nothing wrong)
Through the sky (Up in the sky)
You and I (Just you and I)
You might also like
Lost, lost in the heat of it all
Girl, you know you're lost
Lost in the thrill of it all
Miami, Amsterdam, Tokyo, Spain, lost
Los Angeles, India, lost on a train, lost

Love lost, lost? Love, love
Love lost, lost? Love, love
Love lost, love love, love lost
Faith is the substance-
Manos arriba!-
Then the other channel on the-126Embed",[],False
389,389,89,More Than My Hometown,Morgan Wallen,Top Songs of 2022: USA,"More Than My Hometown Lyrics
Girl, our mamas are best friends and so are we
The whole town's rooting for us like the home team
Most likely to settle down
Plant a few roots real deep and let 'em grow
But we can't stop this real world from spinnin' us
Your bright lights called, I don't blame you for pickin' up
Your big dream bags are all packed up and ready to go
But I just need you to know

That I love you more than a California sunset
More than a beer when you ain't twenty-one yet
More than a Sunday morning Lord
Turnin' some poor lost souls 'round, and Hallelujah bound
Yeah, I love you more than the feeling when the bass hits the hook
When the guy gets the girl at the end of the book
But, baby, this might be the last time I get to lay you down
'Cause I can't love you more than my hometown
I ain't the runaway kind, I can't change that
My heart's stuck in these streets like the train tracks
City sky ain't the same black
Ain't that a map dot shame, man, to think that

I love you more than a California sunset
More than a beer when you ain't twenty-one yet
More than a Sunday morning Lord
Turnin' some poor lost souls around, and Hallelujah bound
Yeah, I love you more than the feeling when the bass hits the hook
When the guy gets the girl at the end of the book
But, baby, this might be the last time I get to lay you down
'Cause I can't love you more than my hometown

Yeah, you got a wild in your eyes that I just wasn't born with
I'm a same gas station cup of coffee in the mornin'
I need a house on the hill, girl, not in 'em
So hang onto these words 'til them avenues help you forget 'em

'Cause I love you more than a California sunset
I love you more in a twenty-dollar sundress
Hate that loaded down car you got your keys in
Girl, but I hate even more that you're leavin'
'Cause I love you more than the feeling when the bass hits the hook
When the guy gets the girl at the end of the book
But that ain't you and me so I guess I'll see you around
'Cause I can't love you more than my hometown
You might also like
Love you more than my hometown
Love you more than my hometown
Love you more, baby, love you more2Embed",[],False
390,390,90,Hats Off,"Lil Baby, Lil Durk, Travis Scott",Top Songs of 2022: USA,"TranslationsРусскийHats Off Lyrics
What's happenin', Chi Chi?

Turn my name to ""The kiDD,"" that's a baby goat
Keep a Drac' like I started up OVO
You can get a percent, but I want the most
Got a house with a lake, so I bought a boat
'Bout to switch up a play, that's an audible
State-to-state, private jet with some model hoes
Had to run up more dollars than followers
Me and bae take the week off in Cabo
Life's a gamble, I'm playin' the lotto
I'm bettin' it all 'cause I know that I got 'em
'Member me? I was drivin' Impalas
We don't beef, if it's problems, we solve it
I remember that deucе deuce revolvеr I bought for my partna
He died in a argument
They was hatin', that's why I'm way farther than 'em
'Member askin' my mom where my father been at
Ain't no talkin', that fire what I'm tryna get at
Niggas cuffin' these hoes that the crew done been had
Get them racks out the bank, put it right in the bag
Say he wouldn't do that, but he would if he can
Hop out marchin' with drums like we play in the band
I come straight out the mud, I ain't been in no sand
Twenty-hour flight, had popped me a Xan
I got horny, almost fucked on a fan
I had thinked about it, I can't end up on Shade Room
Everything that I hit, I done paid for
She know what I can bring to the table
I can tell if it's real by the label
We had TV, but we didn't have cable
Now I'm richer than all of my neighbors
I wear my chain proud, it's a trophy
I'm with the same crowd, these the brodies
I don't got the same mind, you don't know me
You don't gotta do it loud, keep it low-key
I'm tryna be here for mine, I can't hold you
The Forgiatos twenty-four, this for Kobe
I shouldn't have to say, you know that you owe me
You ain't gotta search, you know that it's on me

Hats off if you keepin' it real
It's so easy to fall victim to fake
Durk the voice 'cause he know just what to say
I'm the hero, I come through, save the day
Hats off if you keepin' it real
It's so easy to fall victim to fake
Durk the voice 'cause he know just what to say
I'm the hero, I come through, save the day

Bitch, I'm a D-boy, do it for T.Roy
I'm on you forever, that's just word to V.Roy
I'm with the killas forever, the trenches is in me
The Grammys can't change me for nothin'
I like the bitches who let me just offer them cash
You never gon' ask me for nothin'
Never gon' switch
Only time I ever switch is a Glock with a motherfuckin' button
Rappers be runnin' back, tellin' them bitches we hittin'
That's why we don't be tellin' them nothin'
4TF, Only the Family
But Four Pockets Full, but we keep it a hundred
That shit solid, I done took losses
I done turned robbers to killers and bosses
I been that nigga from way, way back
Way before Uzi was droppin' the cross
We just a family, we never recruitin'
Clique full of killas, we choosin' to shoot 'em
Someone tell Kanye and Kim to just stick to the script
And just tell 'em to free Larry Hoover
Me, I'm the voice, Baby, the hero
Trav like Michael Jackson, yeah
Been in it a minute, it's crazy I'm winnin'
It only feel like I've been rappin' a year
Let a nigga play with me, I'm ready
My bitch gettin' rich off cosmetics
Life off, they done freed my daddy
Lights off, I couldn't see my baby
2010, I had a gun in my Pelle
2011, I was fightin' my celly
2012, I signed my deal in Cali
2021, I'm big as Khaled, oh-woah
You might also like
I wear my chain proud, it's a trophy
I'm with the same crowd, these the brodies
I don't got the same mind, you don't know me
You don't gotta do it loud, keep it low-key
I'm tryna be here for mine, I can't hold you
The Forgiatos twenty-four, this for Kobe
I shouldn't have to say, you know that you owe me
You ain't gotta search, you know that it's on me

Hats off if you keepin' it real
It's so easy to fall victim to fake
Durk the voice 'cause he know just what to say
I'm the hero, I come through, save the day
Hats off if you keepin' it real
It's so easy to fall victim to fake
Durk the voice 'cause he know just what to say
I'm the hero, I come through, save the day

(Yeah) After this drop, then it's only the label
You see the crosses surroundin' the table
But never cross us, we flip ya, Alfredo
Bro do it silent without a potato
I took the logic and built out a payroll
All the whips chocolate, I built it like LEGOs (Let's go)
I leave him deceased (Yeah)
Only way that they ever find peace (Yeah)
In that case, then I might need a priest (Yeah)
In the streets, gotta keep the belief
Not a wave, gotta keep you a sea (Sea)
Look for me, gotta keep you a fee (Fee)
Made a hundred and put it on gold (It's lit)
Took the steppas and put 'em on roll (Straight up)
It's a lotta them ridin' and glidin' and slidin' that's ready to snatch up your soul (Yeah)
I was eighteen still when I got my deal, then Dre had to go up the road (Up the road)
Now he back outside and see lil' bro, he got believers
R.I.P. Big Tone, I know you see us
Sorry, gotta fuck on the low, I can't make Cheaters
Dawg, we got it bussin' out the bleachers (Yeah)
It's jumpin' like wall to wall
(Trav like Michael Jackson, yeah)
(The truth, see, see)30Embed",[],False
391,391,91,Sweater Weather,The Neighbourhood,Top Songs of 2022: USA,"TranslationsTürkçePortuguêsDanskРусскийSweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach but I stand
In California with my toes in the sand
Use the sleeves of my sweater
Let's have an adventure
Head in the clouds but my gravity's centered
Touch my neck and I'll touch yours
You in those little high waisted shorts, oh
She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue
'Cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside this place is warm
Outside, it starts to pour
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater, woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, let me hold
Both your hands in the holes of my sweater
You might also like
And it's too cold, it's too cold
The holes of my sweater510Embed",[],False
392,392,92,LOVE YOU BETTER,Future,Top Songs of 2022: USA,"TranslationsEspañolРусскийLOVE YOU BETTER Lyrics
Could this thing be more?
You can never— this could be yours
If it's really meant to— baby, baby
'Cause I'm interested, baby, baby
ATL Jacob, ATL Jacob

You tellin' me you fallin' out of love with me
Hope you can find someone to love you better than I did
Takin' our memories on love and treatin' it like nothin'
Takin' our memories on love and treatin' it like gossip
It's my love from my grandmother make me gentle when I care for you
Tell me you fallin' out of love, it's breakin' my heart in two
I just don't wanna sit and pray, baby
Almost like it didn't happen to make you happy

You tellin' me you fallin' out of love with me
Hope you can find someone to love you better than I did
You tellin' me you fallin' out of love with me (You tellin' me you fallin' out of love with me)
Hope you can find someone to love you better than I did (Hope you can find someone to love you better than I did)

Could this thing be more?
(You tellin' me you fallin' out of love with me)
It's my love from my grandmother make me gentle when I care for you (Hope you can find someone to love you better than I did)
If it's really meant to— baby, baby
'Cause I'm interested, baby, babyYou might also like3Embed",[],False
393,393,93,MAMIII,"Becky G., KAROL G",Top Songs of 2022: USA,"TranslationsHebrewEnglishMAMIII Lyrics

O-O-Ovy On The Drums
Salud, mami
Ah, ah, ah, ay

Lo que no sirve que no estorbe
Te metiste autogol por torpe
Te quedó grande este torque
Ya no estoy pa' que de mí te enamores, baby (Chi)
Sin Visa ni pasaporte (No)
Mandé tu falso amor de vacaciones (Chi, chi, chi, chi, chi, chi)
Pa' la mierda y nunca vuelvas
Que todo se te devuelva, no
De lo que me hiciste si no te acuerda'
No me vuelvas a llamar, que hasta boté el cеlular
De lo tóxico que erеs, se volvió perjudicial
Lo que se va, se va
Conmigo no te equivoques
De lo tóxico que eres, no te quiero ver más (Chi)

Llegué pa'l party, saca la botella
La que te quería, no sé quién es ella
Te dejé el review, no te puse ni una estrella
Y te olvidé porque no dejaste huella
Ya no miro pa'trás, ni pa' parquearme
Tengo a uno que está listo pa' llevarme
El segundo está esperando en el hotel
Y el tercero lo conozco esta noche (No, no)
No me llames, que mi número cambié (Cambié)
Si quieres que te lo dé (Dé)
Llama 1-800-jódete
No sé si me escuchaste
No me llames, que mi número cambié (Cambié)
Si quieres que te lo dé (Dé)
Llama 1-800-jódete (Jódete)

No me vuelvas a llamar, hasta boté el celular
De lo tóxico que eres, se volvió perjudicial
Lo que se va, se va, ah-ah
Conmigo no te equivoques
De lo tóxico que eres, no te quiero ver más (Ey)
You might also like
Ay, yo lo lamento (Ah)
Tu' gana' de volver (Ey) murieron en el intento (Ah)
Lo hiciste ver como que perdiste el tiempo
Quedaste bien porque lo mío ni lo cuento (Papi)
Te veo en la' rede', no puedo creerlo, qué pena de ti (Pena de ti)
Yo que fui buena y tú qué gonorrea pagándome así (Nea, qué gonorrea)
Rata de dos patas, lo dijo Paquita
Un animal rastrero (Jaja)
Que se come todo lo que se atraviesa
Diablo, tú ere' un cuero (Cuero)
No digas ""Te quiero,"" mejor sé sincero (Ey)
No digas ""Te amo"" (Ah) porque eso fue en vano (Ah)
Llorando estaba' tú y como no te salí
Andas comiéndote a otra, pero estás pensando en mí (Chi)

No me vuelvas a llamar, hasta boté el celular
De lo tóxico que eres, se volvió perjudicial
Lo que se va, se va, ah-ah
Conmigo no te equivoques
De lo tóxico que eres, no te quiero ver más

Ouh
Repítelo, mami
""Que a veces no te cambian por algo mejor
Y ni siquiera por algo más rico""
KAROL G y Becky G
It's the real G's, baby (Jaja)
Ovy On The Drums6Embed",[],False
394,394,94,Check,Young Thug,Top Songs of 2022: USA,"Check Lyrics
I can see that bullshit from a mile away (See it)
You can stack my money 'bout a mile away (Stack it)
I got three white bitches like it's powder day (White)
Mink coat with the rolls like a Shar Pei
And all of my bitches sexy, call them Barbies (Sexy)
She lookin' back like I'm flexin', baby, no way (Uh-uh)
And lately, I been on that D'usse, yee
(We got London on the track)

Got me a check, I got a check
Yeah, I done got me a check, I got a check (Sheesh, sheesh)
Yeah, I done got me a check, I got a check (Sheesh)
Yeah, I done got me a check, oh, got a check (Yeah, yeah-yeah!)
Money on my mind, I got money on my brain
Money in my pants, I got money I call change
20, 50, 100, 500 millions made
Big hunna Thugga, screamin' free that Gucci Mane

If I need some racks, I'ma flip me some packs
I talk like I want and she don't say nothin' back
If cops pull up, I put that crack in my crack
Or I put that brack in my brack
Call little shawty, made her fuck on my brodie
If you don't owe me, bitch, still act like you owe me
I promise I won't ever quit, bitch, I'm Kobe
And I whip that white, you can snow me
Stoner Young Thugger
I whip it, that bitch, yeah, she know me, Young Thugger
Yeah, she shinin' like butter
The bitch from Chicago, I call her young Cutler
Leave it to Beaver
I pull up in Bentleys with London, they all want to meet him
Yeah, they all wanna greet him
They pull down they pants and they all wanna eat him, uh
No, they won't tease on that dick, they won't read on that dick
They won't leash on that dick, don't Felicia that dick
Mamacita that dick, they gon' snitch on that dick
And she screamin' loud, she can't secret that dick
Mama a beast on that dick
If she bad, I'ma gon' an' Four Season that bitch
Eat that, lil' bitch, I'ma feast that lil' bitch, mm
You might also like
I got me a check, I got a check
Yeah, I done got me a check, I got a check (Sheesh, sheesh)
Yeah, I done got me a check, I got a check (Sheesh)
Yeah, I done got me a check, oh, got a check (Yeah, yeah-yeah!)
Money on my mind, I got money on my brain
Yeah, I'm like, baby, baby, baby, I need racks
Money in my pants, I got money I call change
Baby, baby, baby, baby, baby, I need racks
20, 50, 100, 500 millions made
Baby, baby, baby, baby, baby, I want racks
Big hunna Thugga, screamin' free that Gucci Mane
Baby, baby, baby, baby, baby, I need racks, hey!

Bitch, I'm a Migo, I play with kilo
When I put ice on, I am Sub-Zero
All of my niggas, they hard, call 'em beetles
Niggas was fake so I kept me a Ruger in Regals
Droppin' the top on the Bentley
I'm with the Birdman, yeah, the eagle
Geeked out my mind, man, I'm tripping out
I don't know none of these people
Make my little shawty go get me a four and bring back me a liter
Yes, I got threats, I'm not worried 'bout that
They know they can get whacked and I swear I done
Got me a check, I got a check
Yeah, I done got me a check, I got a check (Sheesh, sheesh)
Yeah, I done got me a check, I got a check (Sheesh)
Yeah, I done got me a check, oh, got a check (Yeah, yeah-yeah!)
Yeah, I'm like, baby, baby, baby, I need racks
Baby, baby, baby, baby, baby, I need racks
Baby, baby, baby, baby, baby, I want racks
Baby, baby, baby, baby, baby, I need racks, hey!

We got London on da Track!318Embed",[],False
395,395,95,Ghost,Justin Bieber,Top Songs of 2022: USA,"TranslationsDeutschTürkçeEspañolPortuguêsJustin Bieber - Ghost (Ελληνικές μεταφράσεις)Ghost Lyrics
Youngblood thinks there's always tomorrow
I miss your touch some nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get, I want you to know

That if I can't be close to you, I'll settle for the ghost of you
I miss you more than life (More than life)
And if you can't be next to me, your memory is ecstasy
I miss you more than life, I miss you more than life
Youngblood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get, I want you to know

That if I can't be close to you, I'll settle for the ghost of you
I miss you more than life (Yeah)
And if you can't be next to me, your memory is ecstasy (Oh)
I miss you more than life, I miss you more than life

Woah-oh-oh-oh
Na-na-na
More than life (Oh)

So if I can't get close to you, I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me, your memory is ecstasy
I miss you more than life, I miss you more than lifeYou might also like19Embed",[],False
