,Unnamed: 0,songs,artist,title,lyrics,enumerated_list,lyrics_not_found
187,87,It's You,Ali Gatie,Top Songs of 2020: Canada,"TranslationsTürkçeIt’s You Lyrics
It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you
Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me apart
I know how it starts, trust me, I've been broken before
Don't break me again, I am delicate
Please don't break my heart, trust me, I've been broken before

I've been broken, yeah, I know how it feels
To be open and then find out your love isn't real
I'm still hurting, yeah, I'm hurting inside
I'm so scared to fall in love, but if it's you, then I'll try

It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you
Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me apart
I know how it starts, trust me, I've been broken before
Don't break me again, I am delicate
Please don't break my heart, trust me, I've been broken before
You might also like
I know I'm not the best at choosing lovers (Oh)
We both know my past speaks for itself (For itself)
If you don't think that we're right for each other (Baby, no)
Then please don't let history repeat itself
'Cause I want you, yeah, I want you, yeah
There's nothing else I want
'Cause I want you, yeah, I want you, yeah
And you're the only thing I want

It's you, it's always you
If I'm ever gonna fall in love, I know it's gon' be you
It's you, it's always you
Met a lot of people, but nobody feels like you
So please don't break my heart, don't tear me apart
I know how it starts, trust me, I've been broken before
Don't break me again, I am delicate
Please don't break my heart, trust me, I've been broken before

Baby, I want you, baby, I want you
Baby, I want you, baby, I want you
Baby, I want you, baby, I want you
You, you, 'cause I want you
Baby, I want you, baby, I want you
Baby, I want you, baby, I want you
Baby, I want you, baby, I want you
You, you60Embed",[],False
188,88,Beautiful Crazy,Luke Combs,Top Songs of 2020: Canada,"Beautiful Crazy Lyrics
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
You might also like
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me20Embed",[],False
189,89,when the party's over,Billie Eilish,Top Songs of 2020: Canada,"TranslationsAkanaSvenskaEspañolРусскийRomânăPortuguêsItalianoHebrewDeutschFrançaisفارسیNederlandsDanskChinese Traditional​when the party’s over Lyrics
Don't you know I'm no good for you?
I've learned to lose you, can't afford to
Tore my shirt to stop you bleedin'
But nothin' ever stops you leavin'

Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that

Don't you know too much already?
I'll only hurt you if you let me
Call me friend, but keep me closer (Call me back)
And I'll call you when the party's over

Quiet when I'm coming home and I'm on my own
And I could lie, say I like it like that, like it like that
Yeah, I could lie, say I like it like that, like it like that

But nothin' is better sometimes
Once we've both said our goodbyes
Let's just let it go
Let me let you go
You might also like
Quiet when I'm coming home and I'm on my own
I could lie, say I like it like that, like it like that
I could lie, say I like it like that, like it like that463Embed",[],False
190,90,No Idea,Don Toliver,Top Songs of 2020: Canada,"TranslationsEspañolРусскийPortuguêsNo Idea Lyrics
I know, I know, I know that you're drunk (Yeah)
Tell me what you want after this club (Oh-oh)
You know I get nasty (Know I get nasty)
Uber ride to my house, called a taxi (Uber ride to my house, yeah)

I'm picky with my women, I'm decidin' (Oh)
Call me to your crib and I'ma slide in (Yeah)
I'm picky with my women, I'm decidin' (Oh)
Call me to your crib and I'ma slide in (Call me to your crib and I'ma)

First things first, let me get that introduction (Let me get that introduction)
We on a long road to self-destruction (Self-destruction)
You were so in love, you weren't gon' tell me nothin' (You were so in love)
Let me get this clear (Uh-huh), 'cause I had no idea (Yeah, yeah, yeah)

Feelin' like I did too much (Much)
I'm feelin' like I did too much (Much)
Well, let's get naughtier (Naughtier)
Yeah, I need all of ya (All of ya)
I'm feelin' like I did too much (Much)
I'm feeling like I did too much (Much)
Yeah, let's party, ya (Party, ya)
Yeah, I need all of ya (All of ya)
You might also like
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh, yeah
Uh, uh, uh, uh

First things first, let me get that introduction
We on a long road to self-destruction
You were so in love, you weren't gon' tell me nothin'
Let me get this clear, 'cause I had no idea

Feelin' like I did too much (Much)
I'm feelin' like I did too much (Much)
Well, let's get naughtier (Naughtier)
Yeah, I need all of ya (All of ya)
I'm feelin' like I did too much (Much)
I'm feeling like I did too much (Much)
Yeah, let's party, ya (Party, ya)
Yeah, I need all of ya (All of ya)
Since you've been gone, I've been just okay
I know you mad, you didn't see it my way
Since I've been gone, I've been out of space
I let lil' shawty, come here, take your place

Ooh, you got it (Got it)
You couldn't keep my love, you too exotic (Couldn't keep my love, yeah)
You want a paper plane, I don't mind it (You want a paper plane, yeah)
You wonder why your girl always smiling (Wonder why your girl, yeah)72Embed",[],False
192,92,Falling,Harry Styles,Top Songs of 2020: Canada,"TranslationsTürkçeEspañolPortuguêsPolskiFrançaisFalling Lyrics
I'm in my bed
And you're not here
And there's no one to blame but the drink in my wandering hands
Forget what I said
It's not what I meant
And I can't take it back, I can't unpack the baggage you left

What am I now? What am I now?
What if I'm someone I don't want around?
I'm falling again, I'm falling again, I'm fallin'
What if I'm down? What if I'm out?
What if I'm someone you won't talk about?
I'm falling again, I'm falling again, I'm fallin'

You said you cared, and you missed me too
And I'm well aware I write too many songs about you
And the coffee's out at the Beachwood Cafe
And it kills me 'cause I know we've run out of things we can say

What am I now? What am I now?
What if I'm someone I don't want around?
I'm falling again, I'm falling again, I'm fallin'
What if I'm down? What if I'm out?
What if I'm someone you won't talk about?
I'm falling again, I'm falling again, I'm fallin'
You might also like
And I get the feeling that you'll never need me again

What am I now? What am I now?
What if you're someone I just want around?
I'm falling again, I'm falling again, I'm fallin'
What if I'm down? What if I'm out?
What if I'm someone you won't talk about?
I'm falling again, I'm falling again, I'm fallin'135Embed",[],False
193,93,VIBEZ,DaBaby,Top Songs of 2020: Canada,"VIBEZ Lyrics
Let's go (Yeah, yeah, Neeko, you made that motherfuckin' beat? Ah, nah)
You know it's Baby, nigga, hahaha
Hah
(Oh Lord, Jetson made another one), ha

She wanna fuck with me, but I don't got the time (Mmh, mmh)
I just hopped off a private plane and went and hopped on 85 (Yeah)
Go call my chauffeur, bitch, 'cause I don't like to drive
We in Suburbans back to back and we gon' fill 'em up with vibes (Let's go)

Fill 'em with vibes (Yeah), get in and ride (Yeah, yeah)
And no, a nigga not blind (Uh-uh)
But I keep the stick and I'm firin' (Bitch)
I ain't met a nigga in life
That's fuckin' with me, say he did, then he lyin' (Mmh, mmh)
Got so many vibes stuffed in the car
We can fuck them hoes six at a time (No cap)
I make them hoes say, ""That nigga so fine"" (Ooh)
""Girl, he got the dick you can feel in your spine"" (Yeah)
Yeah, that what they say about Baby
You know that them bitches don't play about Baby
Baby should go run for president
Look what God did, took his time with me (Yeah, yeah)
Got a red and white ho like a peppermint (Ooh)
Book the hotel, take the vibes in
She gon' fuck me and fuck on my brethren (Uh)
My brother 'nem, havin' three hoes in the king size
I ain't finished yet (Mmh), get another bitch (Mmh)
Got her ridin' dick and screamin', ""Yeehaw"" (Mmh, mmh, mmh, mmh)
Make me proud, girl, you a cowgirl (Huh?)
Did a handstand, I'm like, ""Wow, girl"" (Okay, okay)
Got me fuckin' her upside-down (Ooh, mmh), baow, baow
Yeah, we goin' dumb, say she wanna cum (Mmh)
I'm lookin' like, ""When?"" She lookin' like, ""Now""
Some more came in, say they want it too
I tagged in my brother, bitch, I'm out (Bye), I know
You might also like
She wanna fuck with me, but I don't got the time (Mmh, mmh, yeah)
I just hopped off a private plane and went and hopped on 85 (Yeah)
Go call my chauffeur, bitch, 'cause I don't like to drive
We in Suburbans back to back and we gon' fill 'em up with vibes (Let's go)
She wanna fuck on me, but I don't got the time (Mmh, mmh)
I just hopped off a private plane and went and hopped on 85 (Yeah)
Go call my chauffeur, bitch, 'cause I don't like to drive
We in Suburbans back to back and we gon' fill 'em up with vibes (Look)

Let's get on a jet (Yeah), come give me some neck (Yeah, yeah)
She ain't pickin' up (Huh?), and her nigga just called, she gon' send him a text
I don't need no doc', bitch, you know I'm a dog, better send me the vet
Ever made you a million? I tell 'em, ""Riddle me that,"" ain't offended me yet
My bitch drink Bacardi, I'm in this bitch feelin' like 'Set (Okurr), quarter mil' on my neck
One-point-two on the crib, four hundred thou' on the whip, dickin' down your lil' bitch
I'm 'bout to go buy me a coupe (Zoom)
Pull up, make the doors raise the roof (Yeah)
Louis V army fatigue (Yes, sir)
Hop out with a pole like a troop (Yeah, get in there)
Baby Ray Allen from three (Swish)
You leave me open, I shoot (Baow, baow)
We like Martin and Pam at the hotel (Uh)
We kickin' hoes out, get the boot (Mmh)
These hoes catchin' bodies, they 'bout it (Yeah)
We having new vibes in the lobby (New vibes)
That's wherever we go, ain't no problem (No problem)
I just told a bitch no, she was childish (Bye)
Pulled up like
She wanna fuck with me, but I don't got the time (Mmh, mmh)
I just hopped off a private plane and went and hopped on 85 (Yeah)
Go call my chauffeur, bitch, 'cause I don't like to drive
We in Suburbans back to back and we gon' fill 'em up with vibes22Embed",[],False
194,94,Hard to Forget,Sam Hunt,Top Songs of 2020: Canada,"Hard to Forget Lyrics
There stands the glass
That will ease all my pain
That will settle my brain
It's my first one today
There stands the glass
That-that will ease all my pain
That-that will settle my brain
It's-it's my first one today

Ayy
I saw your sister at work
I saw your mama at church
I'm pretty sure I saw your car at the mall
I see your face in the clouds
I smell your perfume in crowds
I swear your number's all my phone wants to call

It's kinda funny how I can't seem
To get away from you
It's almost like you don't want me to

You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget
You might also like
Told me to leave all your things
Out on the porch, on the swing
You'd come and grab 'em by the end of the week
Well, it's just some jeans and a shirt
But it's a whole lot of hurt
I think I know why you've been dragging your feet

Ain't it funny how I can't seem
To get away from you?
It's almost like you don't want me to

You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

There stands the glass
That-that will ease all my pain
That-that will settle my brain
It's-it's my first one today
You've got a cold heart and the cold hard truth
I got a bottle of whiskey, but I got no proof
That you showed up tonight
In that dress just to mess with my head
So much for so long
Out of sight, out of mind
Girl, you're lookin' so good
It's drivin' me out of mine
Oh, you're breakin' my heart
Baby, you're playin' hard to forget

Oh honey, I'm fallin' apart
And you're playin' hard to forget2Embed",[],False
195,95,Beautiful People (feat. Khalid),Ed Sheeran,Top Songs of 2020: Canada,"New Music Friday 06/28/19 LyricsEd Sheeran - Beautiful People (feat. Khalid)
Daniel Caesar - LOVE AGAIN
Chris Brown - Don't Check On Me (feat. Justin Bieber & Ink)
The Black Keys - Walk Across The Water
Ellie Goulding - Hate Me (with Juice WRLD)
J Balvin - QUE PRETENDES
Mustard - Ballin' (feat. Roddy Ricch)
Rich Brian - Yellow (feat. Bekon)
mxmtoon - high & dry
Kygo - Higher Love
H.E.R. - Racks (feat. YBN Cordae)
Daniel Caesar - SUPERPOSITION
Julia Michaels - Hurt Again
BENEE - Glitter
Marshmello - Room to Fall
Carnage - Wait For Me (feat. G-Eazy & Wiz Khalifa)
Delacey - The Subway Song
Grace VanderWaal - Ur So Beautiful
Joyner Lucas - Broke and Stupid
BTS - Heartbeat (BTS World Original Soundtrack)
NF - When I Grow Up
Clairo - Closer To You
Conan Gray - Checkmate
Evie Irie - Bitter
Red Hearse - Red Hearse
Vampire Weekend - I'm Goin' Down - Recorded at Electric Lady Studios NYC
Annie Hamilton - Kitchen
serpentwithfeet - Receipts (feat. Ty Dolla $ign)
Daniel Caesar - FRONTAL LOBE MUZIK
Chris Brown - Need A Stack
Freddie Gibbs - Palmolive feat. Pusha T. & Killer Mike (feat. Pusha T & Killer Mike)
Daddy Yankee - Si Supieras
J Balvin - LA CANCIÓN
G-Eazy - Spectacular Now
Céline Dion - Flying On My Own
Why Don't We - Come To Brazil
Andy Grammer - Some Girl
Ingrid Michaelson - Young and in Love
Leah Kate - Girl on Girl
Chris Lane - Big, Big Plans
Brittany Howard - History Repeats
Thom Yorke - I Am a Very Rude Person
Lucy Dacus - Forever Half Mast
Liam Gallagher - The River
Juicy J - Three Point Stance (feat. City Girls & Megan Thee Stallion)
Rich The Kid - Party Bus
Fat Joe - Pullin
Phora - Forgive Me
Neck Deep - She's A God
Bring Me The Horizon - mother tongue - Recorded at Spotify Studios NYC
Furious Monkey House - Echoes
Sasha Sloan - Dancing With Your Ghost
Tori Kelly - Sorry Would Go A Long Way
Yuna - Pink Youth
Trixxie - All Of My Life
CNCO - De Cero
Big K.R.I.T. - Addiction (feat. Lil Wayne & Saweetie)
Mez - Upset
A$AP Ferg - Wigs (feat. City Girls & ANTHA)
Lil Yachty - Go Krazy, Go Stupid Freestyle
Bhad Bhabie - Get Like Me (feat. NLE Choppa)
Kevin Gates - Push It
Baby Rose - All To Myself
Marlhy - Claustrophobic
Adam Lambert - Comin In Hot
Kassi Ashton - Field Party
JP Saxe - Same Room
Meghan Trainor - Hurt Me - From ""Songland""
Johnta Austin - Love Angel
Ty James - Heartbreak City
Slushii - Far Away
Caravan Palace - Plume
ayokay - Things Fall Apart
Boston Bun - Don't Wanna Dance
Alok - The Wall
K.Flay - Not In California
Silverstein - Burn It Down
Korn - You'll Never Find Me
Jeremy Renner - Heaven Don't Have a Name
Digital Farm Animals - Without You Now (feat. AJ Mitchell)
Kim Petras - Icy
Wifisfuneral - WYA, Pt. 2
Landon Cube - 17
RIZ LA VIE - Saturn
Michael Brun - Eda
Conor Maynard - Hate How Much I Love You
Stanaj - Love Me
Gigi Cesare - Obsessed
Felix Jaehn - Love On Myself
Global Dan - Runaway
Runaway June - We Were Rich
Josie Dunne - Ooh La La
Njomza - No One Is Spared
Frawley - Losers
Isle Of You - Hard to Forget
Ajani Jones - Lucid
Zero - Aim Steady
Jaydayoungan - Dead Man Walking
Foley - Can't Help the WayEmbed",[],False
198,98,Suge,DaBaby,Top Songs of 2020: Canada,"Suge Lyrics
Pooh, you a fool for this one
Ha
Oh Lord, Jetson made another one

Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah

The first nigga play, I'ma body a nigga (Ha)
I just checked my balance
I'll probably pull up to your hood
And come buy me a nigga (No cap)
You know that your ho told you that nigga crazy
Don't think that she lied to you, nigga (Bitch)
Get caught with your ho when I'm poppin' 'em both
Now they high just like Bobby and Whitney (Haa)
Say I'm the goat, act like I don't know
But fuck it, I'm obviously winnin'
Don't make me go hit the bank and take out a hundred
To show you our pockets are different (Ha)
I'm out with your bitch and I only want knowledge
She got a lil' mileage, I'm chillin' (Uh)
You disrespect me and I'll beat your ass up
All in front of your partners and children (Ahh, ahh)
I'm the type to let a nigga think that I'm broke
Until I pop out with a million (I pop)
Take 20K and put that on your head
And make one of your partners come kill you (Yeah)
Say he fuckin' with me then he gotta grow up
'Cause this nigga gotta be kiddin' (Kiddin')
This shit, it can't fit in my pocket
I got it, like I hit the lottery, nigga (Hot, hot, hot)
Opp, I'll slap the shit out a nigga
No talkin', I don't like to argue with niggas (I don't)
Ain't gon' be no more laughin'
You see me whip out 'cause I'm gon' be done shot me a nigga (No cap)
I don't follow no bitches on IG
But all of your bitches, they follow a nigga (Ha)
And that lil' nigga ain't gon' shoot shit with that gun
He just pull it out in his pictures (Bitch, uh)
You might also like
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want
I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah

Talkin' my shit, I'ma pop that (Pop)
Got like thirty-two thousand in one of my pockets
The other one, that's where the Glock at (Glock)
You little niggas wanna be internet gangster
Man, tell all these little niggas stop that (Ha)
Been done burnt me a nigga in front of the store
Where your mammy and grandmama shop at (Bitch)
Hopped out on a whole other wave from these niggas
Let's see one of you little niggas top that
I will turn a nigga into a convertible
Push me a lil' nigga top back (Vroom)
Her boyfriend be hatin' and callin' her groupie
Just 'cause she like all my music (Ha)
She'll send me a text and then delete the message
He tryna find out, it's confusin'
I don't know what these niggas is thinkin' about
Use the brain in your head 'fore you lose it (Bitch)
I'll pull up after school and I'll teach her some shit
Tell your bro I'm a motherfuckin' tutor
'Member I used to cheat off a pretty bitch test
All the teachers, they thought I was stupid (Uh huh)
Was expectin' the box to pull up on a truck
Man, this nigga pulled up on a scooter (The fuck?)
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want, I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah
Hah
Pack in the mail, it's gone (Uh)
She like how I smell, cologne (Yeah)
I just signed a deal, I'm on
Yeah, yeah
I go where I want
I'm good (Good)
Play if you want, let's do it (Ha)
I'm a young CEO, Suge (Yeah)
Yeah, yeah76Embed",[],False
200,0,drivers license,Olivia Rodrigo,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolРусскийPortuguêsPortuguêsNorsk (bokmål / riksmål)日本語ItalianoDeutschFrançaisفارسیDanskहिन्दीPolskiNederlands​drivers license Lyrics
I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today, I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today, I drove through the suburbs
And pictured I was driving home to you
You might also like
And I know we weren't perfect, but I've never felt this way for no one, oh
And I just can't imagine how you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)

I know we weren't perfect, but I've never felt this way for no one
And I just can't imagine how you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Yeah, you said forever, now I drive alone past your street377Embed",[],False
201,1,Levitating (feat. DaBaby),Dua Lipa,Top Songs of 2021: Canada,"New Music Friday 10/02/20 LyricsWonder - Shawn Mendes
Bet You Wanna (feat. Cardi B) - BLACKPINK
Runnin - 21 Savage
Don’t Stop (feat. Young Thug) - Megan Thee Stallion
Outta Time (feat. Drake) - Bryson Tiller
Not Another Love Song - Ella Mai
Lie Like This - Julia Michaels
Fallin' - Why Don't We
heart won't let me - LANY
Savage Love (Laxed – Siren Beat)  - Jawsh 685
Jeanie (feat. Bon Iver) - Jim-E Stack
Stuck On You - Giveon
Come Over - Jorja Smith
Lemonade (Feat. Roddy Ricch & Don Toliver)  - Internet Money
I'm Not Mad - Halsey
Still Have Me - Demi Lovato
Levitating (feat. DaBaby) - Dua Lipa
POV (feat. Rubi Rose) - Wiz Khalifa
Blood Walk - YG
La Luz - Kali Uchis
say it over (feat. Cautious Clay) - Ruel
Mr. Right Now (feat. Drake) - 21 Savage
Lovesick Girls - BLACKPINK
Better Than We Found It - Maren Morris
body bag (feat. YUNGBLUD & Bert McCracken of The Used) - Machine Gun Kelly
Big A$AP (feat. Monica) - A$AP Ferg
Demons and Monsters - 347aidan
Lifetime - Romy
Gun Smoke - Stunna 4 Vegas
Bop It (feat. Polo G) - Fivio Foreign
()
Outside - Oliver Malcolm
Something You Like - merci, mercy
Salt Licorice (with Robyn) - Radio Edit - Jónsi
How Was Your Day? - beabadoobee
Lie To Me - Queen Naija
Oops (I'm Sorry) (feat. Ty Dolla $ign & GASHI) - Lost Kings
Roller Rink - dempsey hope
Virtual Aerobics - Wallows
oops! - Yung Gravy
october's lullaby (feat. glaive) - Savage Ga$p
Chocolate Pomegranate - Ari Lennox
Muñeca - Gabriel Garzón-Montano
()
Leave Virginia Alone - Tom Petty
HIGHER - Bishop Briggs
Think I'm Crazy - Two Feet
1,000,000 X Better - Griff
Pretty - Col3trane
PNE - Master Peace
wallflower - mxmtoon
All Love Everything - Aloe Blacc
The Change - JoJo
Man Down - YFN Lucci
Dos Uno Nueve (219) - Omar Apollo
MoneyOnMyMind - UPSAHL
()
 🐚
()
Two Ways - Trey Songz
Don't Go - Isabela Merced
Haunt You (feat. chloe moriondo) - X Lovers
Rockstar - Mallrat
i'm glad that you found someone - sad alex
Free As We Wanna Be - Dawes
Dream On Me - Ella Henderson
Space - Becky Hill
Californian Soil - London Grammar
Twinkle - Hether
 🐚
Sofia - Tiny Meat Gang
Moment - Dagny
Cuss A Little - Kylie Morgan
()
Self Love - Savannah Cristina
 🐚
Boatloads feat. Jack Harlow - Smoke DZA
Training Day - Dougie F
Cry When I'm Gone - Dee Watkins
The Pink Phantom (feat. Elton John and 6LACK) - Gorillaz
Diet - Shamir
 🐚
Soapbox - Brent Cobb
Officer of Love - Caamp
Amen - Tom Grennan
Someone Special - Anna of the North
Must Stop (feat. Sarah Barthel, Phantogram) - ONR
tiny life - EVAN GIIA
You Only Die Once - Kelsy Karter
MEN - deryk
Kissez - Sevyn Streeter
Composure - Lud Foe
 🐚
I'd Rather Die Than Let You In - The Hunna
Halfway Down - Corey Taylor
Beautiful Drug - Bon Jovi
Baby - Brandon
Wild Child (Feat. Lil Baby) - Noodah05Embed",[],False
206,6,STAY,"The Kid LAROI, Justin Bieber",Top Songs of 2021: Canada,"TranslationsTürkçeEspañolPortuguêsItalianoDeutschFrançaisفارسیSTAY Lyrics
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can’t find nobody else as good as you
I need you to stay, need you to stay, hey (Oh)

I get drunk, wake up, I'm wasted still
I realize the time that I wasted here
I feel like you can't feel the way I feel
Oh, I’ll be fucked up if you can't be right here

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
You might also like
When I’m away from you, I miss your touch (Ooh)
You’re the reason I believe in love
It's been difficult for me to trust (Ooh)
And I’m afraid that I'ma fuck it up
Ain't no way that I can leave you stranded
'Cause you ain’t ever left me empty-handed
And you know that I know that I can't live without you
So, baby, stay

Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
Oh, ooh-woah (Oh, ooh-woah, ooh-woah)
I'll be fucked up if you can't be right here

I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
I do the same thing I told you that I never would
I told you I'd change, even when I knew I never could
I know that I can't find nobody else as good as you
I need you to stay, need you to stay, hey
Woah-oh
I need you to stay, need you to stay, hey111Embed",[],False
208,8,WITHOUT YOU,The Kid LAROI,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolItalianoFrançaisWITHOUT YOU Lyrics
You cut out a piece of me and now I bleed internally
Left here without you (No, no, no), without you (Ooh)
And it hurts for me to think about what life could possibly be like
Without you (No, no, no), without you (No, no)

I can't believe that you would up and leave me
Fuck all of your reasons
I lost my shit, you know I didn't mean it
Now I see it, you run and repeat it
And I can't take it back, so in the past is where we'll leave it, huh

So there you go, oh
Can't make a wife out of a ho, oh
I'll never find the words to say I'm sorry
But I'm scared to be alone

You cut out a piece of me and now I bleed internally
Left here without you (No, no, no), without you (Ooh)
And it hurts for me to think about what life could possibly be like
Without you (No, no, no), without you (No, no)

Oh-oh, woah, oh-oh, woah
Oh-oh, woah, oh-oh, woah
Without you, without you
Oh-oh, woah, oh-oh, woah
Oh-oh, woah, oh-oh, woah
Without you, without you
You might also like
It's gon' be hard here on my own
And even harder to let you go
I really wish that we, could have got this right

So here I go, oh
Can't make a wife out of a ho, oh
I'll never find the words to say I'm sorry
But I'm scared to be alone (Oh)

You cut out a piece of me and now I bleed internally
Left here without you (No, no, no), without you (Ooh)
And it hurts for me to think about what life could possibly be like
Without you (No, no, no), without you (No, no)

Oh-oh, woah, oh-oh, woah
Oh-oh, woah, oh-oh, woah
Without you, without you (No, no, no)113Embed",[],False
210,10,Forever After All,Luke Combs,Top Songs of 2021: Canada,"Forever After All Lyrics
A cold beer's got twelve ounces
A good truck's got maybe three hundred thousand
You only get so much until it's gone
Duracells in a Maglite
A needle drop on a forty-five
Are the kinda things that only last so long

When the new wears off, and they get to gettin' old
Sooner or later, time's gonna take its toll

They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
Just a T-shirt in the kitchen
With no make-up and a million
Other things that I could look at my whole life
A love like that makes a man have second thoughts
Maybe some things last forever after all

The FM station on the outskirts
Blue jeans after years of shift work
All fadin' out like I always knew they would
The strings on this guitar
The first love lost on a young heart
Those things are gonna break after the getting's good
You might also like
'Cause the new wears off and they get to gettin' old
Yeah, sooner or later, time's gonna take its toll

They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
Just a T-shirt in the kitchen
With no make-up and a million
Other things that I could look at my whole life
A love like that makes a man have second thoughts
Maybe some things last forever after all


They say nothing lasts forever
But they ain't seen us together
Or the way the moonlight dances in your eyes
And I know there'll be that moment
The good Lord calls one of us home and
One won't have the other by their side
But Heaven knows it, that won't last too long
Maybe some things last forever after all
After all17Embed",[],False
